date,true_counterfactual,true_effect
2025-01-01,11990.380261904476,0.0
2025-01-02,11077.430420556644,0.0
2025-01-03,10244.915226999132,0.0
2025-01-04,9614.981898703134,0.0
2025-01-05,9678.090429613221,0.0
2025-01-06,9553.230969853328,0.0
2025-01-07,10355.830436598028,0.0
2025-01-08,10439.530185093554,0.0
2025-01-09,10392.397152925025,0.0
2025-01-10,9414.758401162802,0.0
2025-01-11,9467.598957913275,0.0
2025-01-12,9795.834906491336,0.0
2025-01-13,9855.157839395097,0.0
2025-01-14,10176.42282938802,0.0
2025-01-15,10308.504683232562,0.0
2025-01-16,9623.651831623218,0.0
2025-01-17,9253.457417071688,0.0
2025-01-18,8487.811825498437,0.0
2025-01-19,8510.478525419245,0.0
2025-01-20,9036.045267819798,0.0
2025-01-21,9213.65781280524,0.0
2025-01-22,9756.675145857473,0.0
2025-01-23,9445.274879894307,0.0
2025-01-24,8255.348679804058,0.0
2025-01-25,8521.151807155347,0.0
2025-01-26,8482.36168435547,0.0
2025-01-27,8967.95083041167,0.0
2025-01-28,9366.556121343234,0.0
2025-01-29,9434.713133852521,0.0
2025-01-30,9415.716928450225,0.0
2025-01-31,9132.692072450198,0.0
2025-02-01,8073.531332922065,0.0
2025-02-02,8910.894602079392,0.0
2025-02-03,9123.961838824807,0.0
2025-02-04,9818.570162748727,0.0
2025-02-05,10073.2038821876,0.0
2025-02-06,9831.650205210346,0.0
2025-02-07,9255.246017044065,0.0
2025-02-08,9228.252735797803,0.0
2025-02-09,9117.13049397614,0.0
2025-02-10,10034.8312208835,0.0
2025-02-11,10829.708781892105,0.0
2025-02-12,10887.269643821792,0.0
2025-02-13,11201.904705385516,0.0
2025-02-14,10782.345986434502,0.0
2025-02-15,10083.714754663359,0.0
2025-02-16,10125.199079965914,0.0
2025-02-17,9833.932627310904,0.0
2025-02-18,11288.399092311784,0.0
2025-02-19,10962.660327523801,0.0
2025-02-20,11167.778003775762,0.0
2025-02-21,9838.852711319989,0.0
2025-02-22,9686.94502086225,0.0
2025-02-23,10240.995876871846,0.0
2025-02-24,10340.419682346146,0.0
2025-02-25,10907.483940892143,0.0
2025-02-26,10851.00301686487,0.0
2025-02-27,10764.364153896991,0.0
2025-02-28,10003.11345488515,0.0
2025-03-01,10189.642506686816,0.0
2025-03-02,9642.61009507825,0.0
2025-03-03,9390.489141652732,0.0
2025-03-04,10532.30424801544,0.0
2025-03-05,10718.813694992092,0.0
2025-03-06,10398.860313625279,0.0
2025-03-07,9704.662853354665,0.0
2025-03-08,9556.34509234755,0.0
2025-03-09,9585.35153895248,0.0
2025-03-10,9505.825686017723,0.0
2025-03-11,9842.725073392588,0.0
2025-03-12,10407.427648282759,0.0
2025-03-13,9754.08953156607,0.0
2025-03-14,9272.268372169327,0.0
2025-03-15,8643.370242797646,0.0
2025-03-16,8617.772154036546,0.0
2025-03-17,9225.411480738543,0.0
2025-03-18,10295.187580116715,0.0
2025-03-19,10031.973809511783,0.0
2025-03-20,9498.36161992881,0.0
2025-03-21,9903.054730081973,0.0
2025-03-22,9207.610461255965,0.0
2025-03-23,9874.92554065404,0.0
2025-03-24,10022.216703685353,0.0
2025-03-25,10751.060445647314,0.0
2025-03-26,10411.921367437297,0.0
2025-03-27,10786.093460066199,0.0
2025-03-28,10473.131424846591,0.0
2025-03-29,9604.94333940256,0.0
2025-03-30,9662.41247187917,0.0
2025-03-31,10236.353330450202,0.0
2025-04-01,10965.86706439973,0.0
2025-04-02,11888.371441284618,0.0
2025-04-03,10608.516794540006,0.0
2025-04-04,10713.164258466099,0.0
2025-04-05,10100.942362672737,0.0
2025-04-06,10559.000568462163,0.0
2025-04-07,10713.235628800676,0.0
2025-04-08,11382.949642137402,0.0
2025-04-09,11860.389286557001,0.0
2025-04-10,11329.188799828724,0.0
2025-04-11,11096.160209761534,0.0
2025-04-12,10167.588022151467,0.0
2025-04-13,10353.792430000238,0.0
2025-04-14,10927.913156688683,0.0
2025-04-15,10780.579467323909,0.0
2025-04-16,11610.42254948734,0.0
2025-04-17,11280.298230877615,0.0
2025-04-18,10214.301177546244,0.0
2025-04-19,9759.106345741075,0.0
2025-04-20,9851.271352408403,0.0
2025-04-21,10237.227805296458,0.0
2025-04-22,10629.38742540722,0.0
2025-04-23,10737.092226889017,0.0
2025-04-24,11085.731009303443,0.0
2025-04-25,10369.314637279002,0.0
2025-04-26,9398.771974705767,0.0
2025-04-27,9590.210373651684,0.0
2025-04-28,9955.900039628259,0.0
2025-04-29,10201.562925951792,0.0
2025-04-30,10557.379921080199,0.0
2025-05-01,9863.800845139776,147.95701267709592
2025-05-02,9862.78645710801,295.88359371324077
2025-05-03,9500.540487042728,427.5243219169224
2025-05-04,9118.232770393577,547.093966223616
2025-05-05,10025.47523789686,751.9106428422638
2025-05-06,10229.102867835714,920.6192581052146
2025-05-07,10390.181675947173,1090.9690759744535
2025-05-08,10375.952922366494,1245.1143506839799
2025-05-09,9241.47523703229,1247.5991569993585
2025-05-10,9045.660504346055,1356.8490756519077
2025-05-11,9437.52891755549,1415.6293376333233
2025-05-12,9611.602265841468,1441.7403398762199
2025-05-13,10327.407652474938,1549.1111478712392
2025-05-14,11370.509386297548,1705.5764079446308
2025-05-15,10467.371194244764,1570.1056791367137
2025-05-16,10518.927740107423,1577.8391610161125
2025-05-17,9864.111539833799,1479.616730975069
2025-05-18,10108.932185449807,1516.33982781747
2025-05-19,10333.217306798984,1549.9825960198468
2025-05-20,10532.487408922987,1579.8731113384474
2025-05-21,11483.376854788534,1722.5065282182786
2025-05-22,11178.019556907757,1676.7029335361622
2025-05-23,10352.615308697463,1552.8922963046189
2025-05-24,10223.71147433648,1533.5567211504713
