date,cand_g10,cand_g17,cand_g06,cand_g19,cand_g00,cand_b06,cand_g09,cand_g12,cand_g15,cand_g14,cand_b07,cand_b09,cand_g03,cand_g18,cand_g13,cand_b04,cand_g11,cand_b05,cand_g04,cand_g16,cand_b02,cand_b01,cand_g07,cand_b08,cand_g08,cand_g02,cand_g05,cand_b03,cand_g01,cand_b00
2025-01-01,11953.726929369788,12054.01285094927,10443.209162294166,11339.021932207308,10682.668130872928,6655.63197184031,11657.545659133157,11657.762915613217,10648.632952396592,11413.821603717117,11599.348252849717,13206.658824673848,10278.5687685054,10638.33344635932,10306.346994899082,12822.439397507047,11841.041204778197,6214.034086288825,10940.90979252855,10604.499273552397,6211.580256968843,15415.735617036215,10969.836705643378,16118.262422895405,10996.29865069577,11913.122409983842,10171.863226426505,15724.317281344804,10380.448717052346,11402.060185860642
2025-01-02,11664.66975004558,12106.854394297983,10089.757111274013,11428.636056281284,10264.901853480682,6475.031348604679,11412.908750003091,11360.28257551204,10389.381719386598,11110.975878609392,10631.845358193845,13617.220013950104,10089.493968142573,10194.349542523638,10205.981575218706,12465.841165133961,11906.606712056206,5921.964737472204,11205.13433923207,10471.510230890273,5752.576650176992,14976.763744080186,10367.48296498501,15711.284604250759,10172.660779580478,11522.807472048898,9910.988483346237,13388.81363099465,10366.75255159838,11339.19133353451
2025-01-03,10669.764301932195,11181.182340540412,10111.155565139497,10448.64797917194,9834.775004928319,6554.291556069354,10677.498027572301,11510.005935644038,9947.362857569653,10017.920526081212,9892.528748095725,14836.910366937547,9734.400328405593,9654.564258939592,10053.356002937948,12374.706930025002,10974.727646983145,5806.49552264777,10537.278355162445,9797.871920411722,5802.9572761828,16729.230338603506,10946.587619901558,14819.760111817419,10519.500748585515,11516.870588962931,9221.897563683284,15539.088478914218,9742.228064959412,11663.984913975797
2025-01-04,10745.66251670258,10839.318191752347,9486.181669370693,10491.425527351395,9533.535342462796,5958.2466706054565,10317.117664952024,10602.430871674913,9429.448360293007,9948.090432444116,10301.423298417589,16097.369353360817,8999.265778950592,9017.975304381174,9226.720514157725,14383.215785640918,10746.475840800298,5746.732120582138,9762.331964859903,9045.128429457416,5609.104439330461,17043.155956660925,9902.122805562241,16143.974182133035,9710.485159848111,10888.062025697578,9022.87431479253,16929.003660593015,9117.819246470983,10923.98680999471
2025-01-05,10571.731324679666,10416.603059725305,9386.031249089168,10269.837168252092,9067.210586503137,6435.482885172849,10202.205497590201,10512.360245714586,9151.708708170541,9732.814258909722,10271.174782565746,14795.973761916615,9539.08835360213,9461.740991252327,9166.02375369642,14794.949247779763,11081.436239213846,5609.481650324204,9941.243636700754,9516.845435858851,5584.179597914641,15616.401210603464,10634.107814165258,14360.855516200743,9476.38244337293,11062.248369371637,8598.354968348069,17131.971319661116,9216.85043454775,10567.812508596544
2025-01-06,11098.256289136189,10445.317238508922,9102.267183876462,9954.665274229537,9084.173445148146,6853.611100636334,10047.50125931144,10613.272382461224,9717.56773441764,9871.414979172318,10416.691034735832,14303.375601618834,9396.108188967555,9684.084887663163,9178.131625046317,14314.362405036496,10954.40456385781,5989.3079055811,9099.0381797322,9360.018839097498,5915.916876661915,15769.590319736279,10279.667024300705,16309.179251933283,9193.983290621276,10861.776354183947,9396.051552639157,17524.489233772714,9421.502894404472,10642.97114992991
2025-01-07,10687.235053974404,10990.655197190828,9515.301093293012,10179.164885030585,9500.86977387658,7070.397375591,10503.952125368794,10990.006830934683,10130.63650695062,10325.544275040484,10351.196245514015,13259.417843460917,9128.847799228864,9211.180505607583,9547.053326039477,12582.36700427307,10842.677959100414,6178.418143973461,9999.481127248417,9228.032705476964,6018.6662391225245,14629.640121454975,10298.485663919886,14962.370248462401,9662.773614315278,10858.659889436003,9491.130691853956,16031.263747732337,9527.703401879711,10977.066890089554
2025-01-08,11161.358376997592,11009.300485822212,9278.33712369365,10383.741212331444,9565.043643261837,6771.285429544941,10792.793382115293,10869.40451916955,10011.583518936523,10225.178811225116,10450.488590625711,14295.591806197199,9392.428425950582,9218.745439566712,9539.261088208561,12095.291027761506,10386.754090948185,5960.188991445514,9496.608120073204,9127.533856657921,5930.288045968979,15760.834337378328,10199.28294289308,15435.925475687029,9690.55635785609,11290.89960473435,9088.594393411746,13427.110787734335,9779.31832962555,11052.357084118757
2025-01-09,11132.194642426935,11013.886585183172,9230.062555339724,10331.90973037827,9655.777510299355,6425.809569977631,10990.819721518103,10562.027622740323,9340.873904244194,9829.292771531416,9929.859646893447,14116.933298068852,9225.950595851551,9236.80771811286,9304.877369728558,11592.537000103099,11296.761719300472,6102.243249957475,9791.699526630378,9699.788112525559,5751.824790731939,15850.209798694179,10333.21071108028,14664.7086259588,9156.875246681942,11626.90461501962,8816.517378094539,14504.430381128723,9314.37327106842,11328.977422631518
2025-01-10,10480.779511273398,10454.060545883825,9439.016723275288,9892.050456981953,8964.077190222002,6059.633901463582,10173.90360204892,10611.066064092838,9909.437614342296,9316.749724388572,10150.805969965064,14654.970475799824,9397.659113030059,9349.20870205145,9182.109255441943,13667.79246741106,10760.804469432718,5232.140920309443,9345.161940882499,9099.044149546302,5631.48658481886,16662.357745424535,9769.945750558818,15619.458040576928,9574.605193735524,10740.964075349062,8711.015449416425,14994.664158424193,8845.360357474334,10533.050614502366
2025-01-11,10432.6995546113,10070.363583718841,9257.572949160065,10730.501838200269,8807.81059019697,6061.15546515643,9711.943371689324,9879.045570001957,9665.976545865082,9333.816789373212,9920.198637443656,15091.939446709035,8900.773993218016,9143.65559464671,9203.095117804489,14225.545015291897,10584.006071823784,5374.582902742359,9545.229539976815,8745.389771533506,5233.882381531193,16284.02507138762,9806.929291837481,15605.795862012292,9370.160062654313,10184.931006580242,8581.871120199696,15754.499427993394,9110.738673234922,10548.080224232219
