date,streams
2025-01-01,11990.380261904476
2025-01-02,11077.430420556644
2025-01-03,10244.915226999132
2025-01-04,9614.981898703134
2025-01-05,9678.090429613221
2025-01-06,9553.230969853328
2025-01-07,10355.830436598028
2025-01-08,10439.530185093554
2025-01-09,10392.397152925025
2025-01-10,9414.758401162802
2025-01-11,9467.598957913275
2025-01-12,9795.834906491336
2025-01-13,9855.157839395097
2025-01-14,10176.42282938802
2025-01-15,10308.504683232562
2025-01-16,9623.651831623218
2025-01-17,9253.457417071688
2025-01-18,8487.811825498437
2025-01-19,8510.478525419245
2025-01-20,9036.045267819798
2025-01-21,9213.65781280524
2025-01-22,9756.675145857473
2025-01-23,9445.274879894307
2025-01-24,8255.348679804058
2025-01-25,8521.151807155347
2025-01-26,8482.36168435547
2025-01-27,8967.95083041167
2025-01-28,9366.556121343234
2025-01-29,9434.713133852521
2025-01-30,9415.716928450225
2025-01-31,9132.692072450198
2025-02-01,8073.531332922065
2025-02-02,8910.894602079392
2025-02-03,9123.961838824807
2025-02-04,9818.570162748727
2025-02-05,10073.2038821876
2025-02-06,9831.650205210346
2025-02-07,9255.246017044065
2025-02-08,9228.252735797803
2025-02-09,9117.13049397614
2025-02-10,10034.8312208835
2025-02-11,10829.708781892105
2025-02-12,10887.269643821792
2025-02-13,11201.904705385516
2025-02-14,10782.345986434502
2025-02-15,10083.714754663359
2025-02-16,10125.199079965914
2025-02-17,9833.932627310904
2025-02-18,11288.399092311784
2025-02-19,10962.660327523801
2025-02-20,11167.778003775762
2025-02-21,9838.852711319989
2025-02-22,9686.94502086225
2025-02-23,10240.995876871846
2025-02-24,10340.419682346146
2025-02-25,10907.483940892143
2025-02-26,10851.00301686487
2025-02-27,10764.364153896991
2025-02-28,10003.11345488515
2025-03-01,10189.642506686816
2025-03-02,9642.61009507825
2025-03-03,9390.489141652732
2025-03-04,10532.30424801544
2025-03-05,10718.813694992092
2025-03-06,10398.860313625279
2025-03-07,9704.662853354665
2025-03-08,9556.34509234755
2025-03-09,9585.35153895248
2025-03-10,9505.825686017723
2025-03-11,9842.725073392588
2025-03-12,10407.427648282759
2025-03-13,9754.08953156607
2025-03-14,9272.268372169327
2025-03-15,8643.370242797646
2025-03-16,8617.772154036546
2025-03-17,9225.411480738543
2025-03-18,10295.187580116715
2025-03-19,10031.973809511783
2025-03-20,9498.36161992881
2025-03-21,9903.054730081973
2025-03-22,9207.610461255965
2025-03-23,9874.92554065404
2025-03-24,10022.216703685353
2025-03-25,10751.060445647314
2025-03-26,10411.921367437297
2025-03-27,10786.093460066199
2025-03-28,10473.131424846591
2025-03-29,9604.94333940256
2025-03-30,9662.41247187917
2025-03-31,10236.353330450202
2025-04-01,10965.86706439973
2025-04-02,11888.371441284618
2025-04-03,10608.516794540006
2025-04-04,10713.164258466099
2025-04-05,10100.942362672737
2025-04-06,10559.000568462163
2025-04-07,10713.235628800676
2025-04-08,11382.949642137402
2025-04-09,11860.389286557001
2025-04-10,11329.188799828724
2025-04-11,11096.160209761534
2025-04-12,10167.588022151467
2025-04-13,10353.792430000238
2025-04-14,10927.913156688683
2025-04-15,10780.579467323909
2025-04-16,11610.42254948734
2025-04-17,11280.298230877615
2025-04-18,10214.301177546244
2025-04-19,9759.106345741075
2025-04-20,9851.271352408403
2025-04-21,10237.227805296458
2025-04-22,10629.38742540722
2025-04-23,10737.092226889017
2025-04-24,11085.731009303443
2025-04-25,10369.314637279002
2025-04-26,9398.771974705767
2025-04-27,9590.210373651684
2025-04-28,9955.900039628259
2025-04-29,10201.562925951792
2025-04-30,10557.379921080199
2025-05-01,10011.757857816872
2025-05-02,10158.67005082125
2025-05-03,9928.06480895965
2025-05-04,9665.326736617193
2025-05-05,10777.385880739124
2025-05-06,11149.722125940929
2025-05-07,11481.150751921627
2025-05-08,11621.067273050474
2025-05-09,10489.074394031648
2025-05-10,10402.509579997963
2025-05-11,10853.158255188813
2025-05-12,11053.342605717688
2025-05-13,11876.518800346177
2025-05-14,13076.085794242179
2025-05-15,12037.476873381478
2025-05-16,12096.766901123536
2025-05-17,11343.728270808868
2025-05-18,11625.272013267277
2025-05-19,11883.199902818831
2025-05-20,12112.360520261434
2025-05-21,13205.883383006812
2025-05-22,12854.722490443919
2025-05-23,11905.507605002082
2025-05-24,11757.268195486951
2025-05-25,12055.067475739032
2025-05-26,12110.974203920703
2025-05-27,13122.951492235567
2025-05-28,13307.626204210257
2025-05-29,12924.569616262028
2025-05-30,11723.170738706302
2025-05-31,11569.918979438135
2025-06-01,11687.566358071444
2025-06-02,12725.85790591886
2025-06-03,12503.217871928719
2025-06-04,13103.138829261161
2025-06-05,12054.786815198298
2025-06-06,12092.813897977658
2025-06-07,10987.762041920038
2025-06-08,11546.224180980675
2025-06-09,11813.22167093857
2025-06-10,12340.486727324582
2025-06-11,12354.589640620681
2025-06-12,11903.718161516343
2025-06-13,11957.929400888419
2025-06-14,11032.369582185805
2025-06-15,10325.286003340572
2025-06-16,11175.253632862981
2025-06-17,11129.37301731229
2025-06-18,11888.760074194413
2025-06-19,11277.916012231897
2025-06-20,11308.099277388874
2025-06-21,10972.625039754093
2025-06-22,11108.888479513496
2025-06-23,11308.850490001496
2025-06-24,11835.166687639301
2025-06-25,12270.942812117324
2025-06-26,11874.589344070931
2025-06-27,11650.39962742082
2025-06-28,11707.84403211762
2025-06-29,11298.49177399387
