,streams
2025-01-01,3311.4308310775996
2025-01-02,3276.1799430185642
2025-01-03,3235.9390406578923
2025-01-04,2991.4434590869355
2025-01-05,3087.001874373411
2025-01-06,3183.770075254633
2025-01-07,3274.8397395055786
2025-01-08,3239.388697531911
2025-01-09,3241.484785904568
2025-01-10,3198.9961195108226
2025-01-11,2955.048614903208
2025-01-12,2953.960782780375
2025-01-13,3073.935356965732
2025-01-14,3052.6662612723167
2025-01-15,3225.6243599353324
2025-01-16,3227.9673430974876
2025-01-17,2887.7142752118452
2025-01-18,2898.095753124689
2025-01-19,2698.049672711914
2025-01-20,2845.947053173067
2025-01-21,2978.8538722877656
2025-01-22,2851.2402262221626
2025-01-23,2773.012271583613
2025-01-24,2781.4067400862964
2025-01-25,2519.1482322803536
2025-01-26,2575.515948873185
2025-01-27,2635.843160240816
2025-01-28,2714.558847224268
2025-01-29,2821.410805245163
2025-01-30,2662.4253330941856
2025-01-31,2590.9429650512584
2025-02-01,2513.9468380518933
2025-02-02,2612.7914997703565
2025-02-03,2801.1082331886164
2025-02-04,2854.903154522842
2025-02-05,2851.6462958157244
2025-02-06,2834.4015976273727
2025-02-07,2729.687099039682
2025-02-08,2579.054313122576
2025-02-09,2708.197643337049
2025-02-10,2845.215075437679
2025-02-11,2909.7904712482004
2025-02-12,3015.9190678015484
2025-02-13,2995.7778078660203
2025-02-14,2994.8637235577526
2025-02-15,2845.5239151772207
2025-02-16,2790.5916833587016
2025-02-17,2932.002289894795
2025-02-18,3053.210590618071
2025-02-19,3130.0442869473322
2025-02-20,3052.0493551639333
2025-02-21,2896.7324822292107
2025-02-22,2840.403148242473
2025-02-23,2689.176659286384
2025-02-24,2853.9996237315745
2025-02-25,2979.1047767854097
2025-02-26,3084.131236150983
2025-02-27,2884.7204267490542
2025-02-28,2834.269348038541
2025-03-01,2729.0239061065463
2025-03-02,2534.2037981775757
2025-03-03,2604.899191772521
2025-03-04,2823.2217787974923
2025-03-05,2872.2551754498627
2025-03-06,2717.5573725227673
2025-03-07,2453.431833446409
2025-03-08,2449.12209500889
2025-03-09,2420.611829589326
2025-03-10,2552.4892730636097
2025-03-11,2582.9846189003347
2025-03-12,2612.3314631980325
2025-03-13,2372.207985831459
2025-03-14,2362.8200584851297
2025-03-15,2086.6315437930944
2025-03-16,2271.6588353118113
2025-03-17,2409.993430400074
2025-03-18,2439.791715533121
2025-03-19,2412.3373099238916
2025-03-20,2517.825051073262
2025-03-21,2335.1319597425604
2025-03-22,2243.776585265852
2025-03-23,2201.963418749765
2025-03-24,2472.975072823863
2025-03-25,2581.4939016722274
2025-03-26,2685.0900154713954
2025-03-27,2691.3683728364904
2025-03-28,2520.52120713922
2025-03-29,2478.100853892792
2025-03-30,2470.2133786197987
2025-03-31,2691.1758097042957
2025-04-01,2767.471072435575
2025-04-02,2805.9783908062204
2025-04-03,2672.680238372723
2025-04-04,2675.7403441793354
2025-04-05,2519.0988364235836
2025-04-06,2593.4698424584976
2025-04-07,2535.701346870532
2025-04-08,2804.293519494223
2025-04-09,2879.981676140018
2025-04-10,2671.9292912456167
2025-04-11,2591.497812124814
2025-04-12,2549.3235752567066
2025-04-13,2586.8440883915423
2025-04-14,2597.9597455137778
2025-04-15,2677.323947453422
2025-04-16,2719.112869951518
