,arch_00,arch_01,arch_02,arch_03,arch_04,arch_05,arch_06,arch_07,arch_08,arch_09,arch_10,arch_11,arch_12,arch_13,arch_14,arch_15
2025-01-01,10957.628597532623,10257.850056806667,10570.923884189575,10880.140859845136,9469.241147021587,10001.144640002714,10004.588414234591,10174.554571178516,11170.151620654946,10987.747228888871,9809.175139814444,10387.343794774959,9917.968624881287,9671.259269013088,10112.581074816435,11466.953181658866
2025-01-02,10676.367971368509,9957.33115797746,10561.619779639645,10566.02555267042,9353.488068777517,9801.524883903583,9461.424548466526,9602.52784213562,11003.121625662927,10791.416512794642,9611.39956535452,10436.71954691207,9898.040908921907,9708.321847844058,10124.937138651709,10834.158958240705
2025-01-03,9728.243734951078,9557.860694239287,10211.933995530107,10001.365255532579,9357.702350064541,9321.725136238669,9576.026861995444,9171.27229987785,10744.313251803334,10553.869176202763,9302.083541543274,9966.657474033036,9707.822182547348,9021.045983890826,9688.42599146576,10497.325606301922
2025-01-04,10039.629072295354,9474.063287009089,9337.87890538363,9304.103248716046,8862.359350842342,9382.934278605659,9216.757657994613,9316.488348189594,10503.590060841783,9657.343769070623,8975.074234152844,9392.471678305687,9485.727319795908,9078.193850151772,9201.668972393698,10317.072078619078
2025-01-05,9710.323368446958,9502.515696387116,9765.829502480317,9907.31774207076,9070.795821023068,8729.134834035447,9111.658158130535,8955.457923566322,10142.19241832768,10024.728373655933,8968.830294640682,9595.469916378652,9177.611332015675,8819.958566332085,9338.122803849497,9630.583564820725
2025-01-06,10169.253050280742,9668.998875978765,10202.200257864954,10322.637018517988,8955.853785948219,9215.78423083766,9792.918868116032,9550.129611710987,10722.35290705199,10209.44184577223,9432.927301793543,10044.591814044385,9103.21159431194,9401.650615603661,9932.020174167132,10339.130877851872
2025-01-07,10522.921824090477,10259.738748813581,10342.68283240419,10546.182820588636,9683.863261372659,9395.425423446171,9996.302690712153,9983.09607331807,11201.534194629792,10463.290432044525,9791.025753643666,10693.89593803382,9701.856250909459,9876.680374552801,10189.626091286224,11026.595387502262
2025-01-08,10624.228546471284,10478.979808644457,10629.169777126996,10662.37435161533,9606.180219113368,9795.795356695638,9888.111414246558,9907.44605767322,10687.745077453128,10647.242910477687,9802.946604779358,10180.658721336516,9610.990447073302,9857.86007777985,10364.064571407742,10722.620562417118
2025-01-09,10489.995362930842,9987.315628247874,10287.533404094536,10029.044185475725,9534.196318707442,9681.214646667882,9727.583536167072,9888.502454161848,10935.573882552888,10333.17348246259,9694.559063183695,10046.011332509916,9777.371074311313,9515.072342698923,9890.26144581548,10597.990641307368
2025-01-10,9648.087509249708,9636.671927094983,10030.887403769635,9886.114212030481,9034.049795486899,9333.911170282758,9491.940696143687,9430.087898201255,10348.963097495227,10178.841069785958,9680.674301280913,9689.910969675899,9196.157799767529,8725.168185973644,9544.484177380504,10532.954237171112
2025-01-11,9594.910029962093,8849.191544373323,9702.783287931145,9487.086518883054,8647.384762399257,8870.67001341074,8894.788223031108,8955.916343970559,9758.267678481367,9762.403058611213,9112.831544486673,9315.467181176944,8638.78910534607,8627.111518681428,8924.216587647401,9502.958037182589
2025-01-12,9459.790127119255,8948.011055957344,9913.577484731377,9172.08945121878,8320.473814343526,8668.001583217723,8646.090794153648,8372.772284420666,9349.15695218399,9744.813371816552,8781.260031926346,9463.294916525138,8839.208114172641,8909.110435513137,9029.784481610412,9759.808024736809
2025-01-13,10006.64828081215,9445.978430987288,9681.394671849515,9959.465580359758,8902.828801033273,8944.923626007418,9054.123184073344,9344.417875061463,10123.807020990938,9817.640087756814,9259.586567724069,9218.699003635436,8939.434562003958,8915.080792810688,9454.777082178525,9926.301502573604
2025-01-14,10102.710398213761,9473.62181941678,10149.207405469828,10133.277755676345,9268.236023022597,9120.320624234379,9568.600319312898,9729.627543492847,10517.797059240944,9921.489556509923,9366.832304171832,9551.589919007769,9082.401576328644,8938.62589755899,9537.553180548899,10206.890307902113
2025-01-15,10044.653098528739,9547.574332145728,10100.513888642377,10061.083856423003,9215.890032658077,9361.179683043241,9427.649047258757,9268.1040276991,10402.38282466382,10197.938913334212,9435.000927121338,10204.21868233707,9699.287606626911,9267.56307063849,9436.734664466036,10552.896415073204
2025-01-16,9737.794077770039,9772.387287791298,9932.75009292995,9453.642136918264,9032.836858117986,8865.64224627548,9386.710307997453,9549.42386216058,9796.747756952122,10223.920911442665,9244.623905533539,9584.29038733481,9192.611786393141,9174.808502585624,9275.295966861124,9999.941384060981
2025-01-17,9331.845687057821,8641.559473619878,9377.046920546594,9343.590215885743,8509.873017401625,8522.581507736822,9095.684043186991,8965.392783804384,9714.536284396898,9290.866710295944,8582.704344163005,9049.149495741924,8740.982783057314,8183.603808953441,8572.626580616474,9487.209258129993
2025-01-18,9087.556839613588,8733.66175040956,9167.369228256188,8659.826503796477,7948.792449482755,8034.519047158779,8627.72998781126,8447.392449704088,9269.224610721383,8862.850170357846,8469.592333811801,9116.206695279392,8251.736540577353,8170.823182299098,8200.652709456055,9092.994184373898
2025-01-19,8764.134322529528,8230.154177298999,8852.98311831294,8552.564489407883,8354.974077173923,8041.810409788432,8281.080632511374,8419.763402942752,9112.006685267083,8617.682789918686,8356.953544046855,8405.479429872401,8400.14769357328,8038.800452108928,8296.56653313885,8963.853440200759
2025-01-20,8916.586929045754,8336.700976002961,9144.590523745775,9002.240764344488,8534.149504982259,8103.123837546671,8475.89275850541,8625.545808484256,8887.746950428405,9410.912519405945,8201.959463953575,8648.831180200916,8659.08794314523,8557.234643212341,8431.820202869976,8900.259962566217
2025-01-21,9285.81026115479,9015.397900483862,9602.29311934636,9113.373943688644,8352.9191449305,8036.081747189142,8489.227341489237,8900.249816317999,9534.19466848863,9456.070567649263,8703.559587523903,9194.607528973986,8822.006029340722,8797.503279118766,9237.502556577023,9134.713144486539
2025-01-22,9277.263775537822,9088.637000048808,9483.917826185514,9027.050940194984,8425.058475229598,8751.610323021503,8979.500460578565,9064.561931128588,9626.055621938143,9475.870179158755,8740.205244778715,9118.344999711639,8969.161856163599,8798.132207541114,8955.595660318684,9510.42450209828
2025-01-23,9067.143222183971,8814.94061528866,9019.772295674706,8730.689583855848,8687.541369384771,8484.733783732454,8498.594284175262,8851.650053885493,9136.283823458743,9253.387344221965,8491.920692922233,8862.043555097172,8431.089938197783,8501.474459877565,8743.57839866086,9096.896974675508
2025-01-24,8379.856974751016,8070.951488028861,9001.82025512073,8808.237911601947,7771.055237654061,7835.577243455105,8285.936924130023,8039.014271795556,8764.95365220434,8627.699439045926,8003.35621262361,8486.59984977784,8256.88198615887,8324.720141012924,8196.53685532097,8737.025923353547
2025-01-25,8076.394233679153,7951.320994863812,8737.992399840428,8215.132451421294,7432.078661161415,7642.454280630229,7403.4883077572695,7901.13517259828,8562.998850166605,8489.391776806713,7874.20820084983,7787.141681994133,7755.040858011131,7457.056901389702,8060.952825549689,8209.659986212779
2025-01-26,8294.240497439589,7642.398217087254,7971.585246404785,8145.7782906006,7134.12644237716,7396.766790394484,7804.753680394419,7815.418380683684,8517.718071522202,8177.918752895522,7611.843951924587,8152.454687649532,7758.720565731269,7583.990064540952,7615.915712327697,8402.37937429742
2025-01-27,8281.755824566642,8460.628467645816,8713.433005674224,8393.946631552384,7581.114169414925,7673.119629850528,8032.361098706447,8399.03965433531,8815.041129647825,8971.213755242665,7836.4289898217585,8051.06520183554,7968.24732630661,7853.134558298273,8239.175851563066,8843.988218797562
2025-01-28,8914.035093316183,8249.811694737084,8892.506108817819,8497.830128258005,7986.089834545558,8117.2204599772185,8213.066544201061,8471.4674608474,8870.656779920007,9003.014130573629,7875.471339395935,8400.833933243091,8622.759559001139,8170.576368233944,8259.286650115808,8673.398864616122
2025-01-29,9002.82615446649,8668.60604896455,8931.73539337197,9091.254522348565,7984.642407208092,7920.786885827089,8844.512045189325,8728.011262163605,9505.05686751277,8903.080874899928,8509.196651155089,8349.954650228465,8594.44026186903,8457.730089574847,8748.342008647493,8994.40006263959
2025-01-30,8529.453285230633,8270.423622155351,8808.285781501278,8902.470191489976,8252.078033967038,7744.632987921821,8527.61366070888,8730.572540738118,8892.012995116573,8896.330242373195,7974.61506843682,8420.799014334138,8432.506498063598,7737.86095006117,8603.062430859667,8888.784664247318
2025-01-31,8191.393618849482,8092.81365101123,8561.485320877026,8018.1698895880745,7552.702278486863,7469.441486865482,8110.1518814109395,7993.819915506817,8506.959238868098,8731.6835148431,7240.0383031690035,8145.041719802414,7846.954952560898,7879.172678193218,8090.326686285048,8537.604550456592
2025-02-01,7916.077666878611,7682.014015335612,8105.669854326588,8211.162747602302,7195.938503110915,7305.943116231207,7575.348190617752,7748.156169147656,8461.585692944178,8180.17936075267,7119.466820232042,7597.1369928592785,7509.081954319935,7363.393652610987,7674.714851814438,8216.353395482345
2025-02-02,8165.909867783997,7712.691013669948,8358.194556287637,8013.685461065785,7337.883115620148,7391.705684878478,8025.403388234095,7777.725482034475,8635.775578405262,8136.825059582069,7694.213656201881,7551.176919197932,8043.82611128147,7621.223072580223,7608.309288240414,8596.99209387894
2025-02-03,8798.819717052655,7849.0416209483465,8689.690922819975,8223.57973334607,7943.465507209633,7923.871596280939,8261.78439533944,8256.428528390064,8548.931541299686,8491.784962086249,7861.594732670293,8148.025032616502,8008.612148233364,7839.540305945148,8197.769950857793,8492.17000389913
2025-02-04,9084.048285828678,8605.19810988952,9248.79768312614,8707.558972983532,8035.082145009129,7842.972611442362,8598.207053167062,8803.67484042078,9171.38250819942,8860.389972190933,8664.686956165515,8590.157698338006,8494.014870383611,8185.750531969146,8917.71018474966,9431.773609437176
2025-02-05,8963.686035434524,9193.817709717834,9449.322332315498,9015.67976738323,8240.657371858086,8354.293004843094,8769.918180525,9000.43090358637,9469.547523374811,9189.941358175705,8572.036156895341,8979.292299456765,8875.38187089382,8640.768787274936,8796.79156094186,9802.359552490147
2025-02-06,9351.779137484074,9065.942425207653,9247.401224724706,8708.131272103072,8182.898726860852,8199.56952077946,8809.397769056935,8409.352942024623,9351.994899016707,9137.198515282387,8014.493170272328,8572.136050642244,8439.937331519015,8507.77510826438,8688.457876240222,9097.385335307983
2025-02-07,8696.85288750306,8140.7390389714155,8852.634210368045,8287.607557849655,8320.557672371151,7815.55093343469,8555.26331090006,8176.398038291074,8609.104408604951,8659.225852725363,7601.128470007178,8115.703273066999,8115.210953223834,7688.468689877945,8231.919362822993,8903.19115372124
2025-02-08,8764.865080787858,8274.886944339432,8604.35895315739,8786.009060013428,7721.386994634388,8020.81742201678,8366.078617486965,7852.553390871633,8814.178230311885,8628.976922087211,8071.7427013052975,8112.054155056491,8171.121646622357,7572.457489019965,7883.389082594785,8797.744341512756
2025-02-09,8601.659037611722,8438.828540629029,8882.730705188234,8833.865763298949,7793.86509629613,7979.602663891816,8197.590824754354,7901.916854902976,8897.82006861045,8829.488751254126,7969.195796810716,8242.780909064828,8373.205999200358,7812.752670155918,8130.156286583094,8837.176958789718
2025-02-10,9116.12546208724,8630.017002869765,8804.93453302618,8868.31516057791,8209.719907466575,8238.154214075224,8495.30040083843,8383.998821237263,9307.73747261867,9276.028916089172,8114.804741281102,8404.218841110856,8758.259866584378,8323.001475707459,8445.172401976826,9466.609943240801
2025-02-11,9357.76630287821,8909.291703655448,9358.966920786872,9405.16734924318,8657.781412561097,8360.057871487397,9156.61464551264,8742.700360189834,9690.55667034354,9208.2036845758,8803.066321482258,9177.97871213738,9069.859500342147,8605.459873333337,8969.205758495893,9284.614694566038
2025-02-12,9612.845735830839,9382.27463548787,9111.214876394917,9613.653845109824,8904.298509361255,8660.139840044387,9125.474015337539,9160.93884731482,10006.429336112922,9535.862016404802,9003.855474825375,9080.978042479217,9053.62658651598,8957.487883415384,9486.312003680845,9666.823741168433
2025-02-13,9411.841924980934,9096.85628081833,9518.911651981582,9814.431697278917,8573.501067225914,8599.896180442038,9267.044942534114,9006.184503135015,9710.313646264278,9508.357526205042,8773.088220576261,9387.144367860054,9059.585373043423,8581.269822427728,9199.664485556938,9865.821084753059
2025-02-14,9025.834258253852,8777.009537705782,8977.348945564287,9048.34041358969,8246.84508356762,8581.491119440268,8615.763187154056,8302.278213664113,9532.69989460533,9319.774540649862,8395.315465470194,8132.311522323914,9038.34566949899,8292.910981227524,8854.268384199926,9336.085901091843
2025-02-15,8891.537211518309,8769.925342364251,8616.985403510182,8907.989657899114,8254.517602243395,8107.17707506996,8306.793680378236,8392.80544381939,8932.284430786001,8773.89786448198,8231.686428922541,8602.938691771002,8305.19737037695,8096.333309516377,8266.320319533741,9291.411419272627
2025-02-16,8827.248943816103,8501.246425225487,8574.96977511272,8968.032305993233,8157.545259115492,8323.267051527413,8568.504755238788,8120.482412877923,9068.559492246182,8848.154031778562,8410.467026379183,8671.915275304415,8291.245198722736,8264.453977815898,8175.247999015767,9398.131774840194
2025-02-17,9333.460317507832,9067.749752220841,9428.867749131718,9098.42130019184,8859.197571259196,8438.634937935682,8993.317981962553,8802.80422409458,9477.895553849925,9103.670997280682,8708.583963627205,8555.802778237006,8662.8709077765,8254.653472428266,8745.51403183492,9422.904069730903
2025-02-18,9639.41843133858,9557.741661022066,9726.570380377872,9683.904646262354,8765.143869311618,8866.279514697655,9136.848204532098,9224.308841614235,10032.5954528782,10022.898080153482,9174.450018243879,9093.743876819302,9192.272003900875,9136.312531757214,9182.502070987877,10092.319323998998
2025-02-19,9673.432340083069,9591.37435215572,9839.492319486655,9720.238872363852,9021.189162223935,8664.276472907653,9707.461400129707,9322.931352606854,10120.013481734824,10112.87575409303,9110.349436846449,9719.488915880722,9418.690662509374,9252.767922656609,9491.441838788482,10056.57251813051
2025-02-20,9540.37935906928,9481.49445693313,9216.313704039425,9540.566548444232,8886.781922147708,8706.9157675655,9046.458931246047,9082.862471595674,9665.854243376984,9621.279225912356,9109.032688021802,9317.437764539314,9382.545342096486,8966.671437322524,9277.60064370944,9954.387745652612
