,streams
2025-01-01,5527.312003584382
2025-01-02,5510.409420646525
2025-01-03,5128.647058732443
2025-01-04,5047.412639174799
2025-01-05,5270.414220737513
2025-01-06,5159.331091315345
2025-01-07,5480.130851999617
2025-01-08,5365.105152626392
2025-01-09,5256.318450506746
2025-01-10,5176.340429343421
2025-01-11,5021.884778056779
2025-01-12,5020.573366491711
2025-01-13,5180.8940200604075
2025-01-14,5290.333688019602
2025-01-15,5321.366125712686
2025-01-16,5112.251123887878
2025-01-17,4839.293948364282
2025-01-18,4653.162025893898
2025-01-19,4355.072263560032
2025-01-20,4695.2750279340935
2025-01-21,4919.715924780496
2025-01-22,4867.925490527973
2025-01-23,4730.883156719699
2025-01-24,4499.721496194646
2025-01-25,4154.361514334925
2025-01-26,4281.177488497306
2025-01-27,4265.126917528951
2025-01-28,4511.310227070863
2025-01-29,4590.533995385631
2025-01-30,4615.56558463538
2025-01-31,4326.757162959974
2025-02-01,4182.065902408517
2025-02-02,4167.040326584837
2025-02-03,4326.4261835856105
2025-02-04,4739.135672891226
2025-02-05,4999.489632813408
2025-02-06,4732.608248421135
2025-02-07,4621.958832141653
2025-02-08,4408.246834283506
2025-02-09,4442.278213354799
2025-02-10,4622.619617948984
2025-02-11,5026.912958637891
2025-02-12,4989.094066680353
2025-02-13,4996.810368089947
2025-02-14,4960.087827064141
2025-02-15,4668.403280941569
2025-02-16,4682.993779839015
2025-02-17,4659.379344691208
2025-02-18,5152.9645738398785
2025-02-19,5103.624285537032
2025-02-20,5103.296566288992
2025-02-21,4754.586547366485
2025-02-22,4744.2875832083155
2025-02-23,4592.318134463547
2025-02-24,4708.470886988515
2025-02-25,5183.0404570326145
2025-02-26,5119.01396435729
2025-02-27,4947.3959088473985
2025-02-28,4736.314780355498
2025-03-01,4368.150123901483
2025-03-02,4512.024418444272
2025-03-03,4365.506878692198
2025-03-04,4717.837740591787
2025-03-05,4563.011649632099
2025-03-06,4444.444409604482
2025-03-07,4090.42731384304
2025-03-08,3795.273725673934
2025-03-09,4083.10764102933
2025-03-10,4061.4093066963933
2025-03-11,4331.172456692441
2025-03-12,4203.260919583622
2025-03-13,4174.570697042198
2025-03-14,3976.2340553289373
2025-03-15,3631.0528306194424
2025-03-16,3834.922501446197
2025-03-17,3787.6656149234905
2025-03-18,4148.322832744288
2025-03-19,4224.250487702925
2025-03-20,4210.712540448587
2025-03-21,4016.302328983809
2025-03-22,3743.796832363499
2025-03-23,3579.5680618266783
2025-03-24,4183.9198192269705
2025-03-25,4304.939341032248
2025-03-26,4408.211189511664
2025-03-27,4349.153007988071
2025-03-28,4017.624434270534
2025-03-29,4119.646989070117
2025-03-30,4104.225354694888
2025-03-31,4471.90666525769
2025-04-01,4469.204316390308
2025-04-02,4614.208937054816
2025-04-03,4585.6834540417785
2025-04-04,4572.696518025587
2025-04-05,4211.077979893109
2025-04-06,4228.932578893177
2025-04-07,4419.847673984204
2025-04-08,4776.389591513173
2025-04-09,4661.233620608157
2025-04-10,4778.814764164592
2025-04-11,4342.5188563254915
2025-04-12,4328.023115550041
2025-04-13,4253.6861381862345
2025-04-14,4149.977555533277
2025-04-15,4321.0644925045
2025-04-16,4361.60712490444
2025-04-17,4525.292737215144
2025-04-18,4155.640435088145
2025-04-19,3874.8316885876256
2025-04-20,3977.0633822224813
2025-04-21,3888.8040840563763
2025-04-22,4273.979290626032
2025-04-23,4038.3902563010624
2025-04-24,4067.865772849908
2025-04-25,3602.2335591530814
2025-04-26,3406.1433668032064
2025-04-27,3418.196672544145
2025-04-28,3532.0465896052433
2025-04-29,3741.7205090015186
2025-04-30,3943.849858541152
2025-05-01,3860.1895785623587
2025-05-02,3854.645342681559
2025-05-03,3708.538435454945
2025-05-04,3693.437969877697
2025-05-05,4001.4322837510203
2025-05-06,4129.768344119237
2025-05-07,4206.592049358415
2025-05-08,4434.083115254193
2025-05-09,4486.852531614085
2025-05-10,4247.214620043309
2025-05-11,4521.073608546195
2025-05-12,4508.742504311165
2025-05-13,5008.922116100239
2025-05-14,5136.6394290434855
2025-05-15,4910.162925070008
2025-05-16,4933.847213301041
2025-05-17,4626.042941114467
2025-05-18,4880.37259083803
2025-05-19,5147.646618403666
2025-05-20,5237.689817167049
2025-05-21,5450.371563742583
2025-05-22,5321.239421205142
2025-05-23,4874.758550818579
2025-05-24,4520.301374149547
2025-05-25,4527.321951476552
2025-05-26,4952.799455116954
2025-05-27,4952.074070575016
2025-05-28,5092.244857491724
2025-05-29,4946.979123485989
2025-05-30,4599.892371540174
2025-05-31,4740.695802663551
2025-06-01,4379.829414969036
2025-06-02,4507.399853929515
2025-06-03,4999.84671847376
2025-06-04,4848.783088956304
2025-06-05,4847.243158808988
2025-06-06,4796.1603455642235
2025-06-07,4470.8125729368785
2025-06-08,4212.574715827193
2025-06-09,4200.69640968417
2025-06-10,4716.069151697733
2025-06-11,4552.876872697937
2025-06-12,4540.997979902241
2025-06-13,4322.368384830659
2025-06-14,3999.4091906294016
2025-06-15,3817.500748477035
2025-06-16,3936.371233431554
2025-06-17,4140.171486106101
2025-06-18,4328.896499169147
2025-06-19,4211.895578193239
2025-06-20,3997.082732748555
2025-06-21,3880.126174673824
2025-06-22,3791.3406771742134
2025-06-23,4021.178444626016
2025-06-24,4134.359075838781
2025-06-25,4396.824537868092
2025-06-26,4476.597684063049
2025-06-27,4249.492571068769
2025-06-28,4138.756287040638
2025-06-29,3821.562598655516
